"","Amostragem","Data","Mes_Ano","Parâmetro","Abreviado","Resultado","Resultado1","Resultado2","Tipo"
"20","APÓS A LAVAGEM DOS FILTROS",2019-07-10,"2019-07","Sólidos Suspensos Totais","SST","420,0",420,420,"Observado"
"34","APÓS A LAVAGEM DOS FILTROS",2019-08-07,"2019-08","Sólidos Suspensos Totais","SST","700,0",700,700,"Observado"
"48","APÓS A LAVAGEM DOS FILTROS",2019-09-04,"2019-09","Sólidos Suspensos Totais","SST","620,0",620,620,"Observado"
"62","APÓS A LAVAGEM DOS FILTROS",2019-10-02,"2019-10","Sólidos Suspensos Totais","SST","452,0",452,452,"Observado"
"76","APÓS A LAVAGEM DOS FILTROS",2019-11-06,"2019-11","Sólidos Suspensos Totais","SST","360,0",360,360,"Observado"
"90","APÓS A LAVAGEM DOS FILTROS",2019-12-04,"2019-12","Sólidos Suspensos Totais","SST","670,0",670,670,"Observado"
"104","APÓS A LAVAGEM DOS FILTROS",2020-01-02,"2020-01","Sólidos Suspensos Totais","SST","620,0",620,620,"Observado"
"118","APÓS A LAVAGEM DOS FILTROS",2020-02-06,"2020-02","Sólidos Suspensos Totais","SST","270,0",270,270,"Observado"
"132","APÓS A LAVAGEM DOS FILTROS",2020-03-05,"2020-03","Sólidos Suspensos Totais","SST","340,0",340,340,"Observado"
"NA","APÓS A LAVAGEM DOS FILTROS",2020-04-01,"2020-04","Sólidos Suspensos Totais","SST","NA",NA,187.5,"Imputado"
"146","APÓS A LAVAGEM DOS FILTROS",2020-05-07,"2020-05","Sólidos Suspensos Totais","SST","35,0",35,35,"Observado"
"160","APÓS A LAVAGEM DOS FILTROS",2020-06-09,"2020-06","Sólidos Suspensos Totais","SST","425,0",425,425,"Observado"
"174","APÓS A LAVAGEM DOS FILTROS",2020-07-08,"2020-07","Sólidos Suspensos Totais","SST","740,0",740,740,"Observado"
"188","APÓS A LAVAGEM DOS FILTROS",2020-08-11,"2020-08","Sólidos Suspensos Totais","SST","920,0",920,920,"Observado"
"202","APÓS A LAVAGEM DOS FILTROS",2020-09-02,"2020-09","Sólidos Suspensos Totais","SST","380,0",380,380,"Observado"
"216","APÓS A LAVAGEM DOS FILTROS",2020-10-08,"2020-10","Sólidos Suspensos Totais","SST","510,0",510,510,"Observado"
"230","APÓS A LAVAGEM DOS FILTROS",2020-11-11,"2020-11","Sólidos Suspensos Totais","SST","750,0",750,750,"Observado"
"244","APÓS A LAVAGEM DOS FILTROS",2020-12-09,"2020-12","Sólidos Suspensos Totais","SST","480,0",480,480,"Observado"
"258","APÓS A LAVAGEM DOS FILTROS",2021-01-13,"2021-01","Sólidos Suspensos Totais","SST","570,0",570,570,"Observado"
"272","APÓS A LAVAGEM DOS FILTROS",2021-02-11,"2021-02","Sólidos Suspensos Totais","SST","235,0",235,235,"Observado"
"301","APÓS A LAVAGEM DOS FILTROS",2021-03-11,"2021-03","Sólidos Suspensos Totais","SST","295,0",295,295,"Observado"
"308","APÓS A LAVAGEM DOS FILTROS",2021-04-07,"2021-04","Sólidos Suspensos Totais","SST","365,0",365,365,"Observado"
"322","APÓS A LAVAGEM DOS FILTROS",2021-05-12,"2021-05","Sólidos Suspensos Totais","SST","312,5",312.5,312.5,"Observado"
"336","APÓS A LAVAGEM DOS FILTROS",2021-06-09,"2021-06","Sólidos Suspensos Totais","SST","304,0",304,304,"Observado"
"350","APÓS A LAVAGEM DOS FILTROS",2021-07-07,"2021-07","Sólidos Suspensos Totais","SST","240,0",240,240,"Observado"
"367","APÓS A LAVAGEM DOS FILTROS",2021-08-11,"2021-08","Sólidos Suspensos Totais","SST","135,0",135,135,"Observado"
"401","APÓS A LAVAGEM DOS FILTROS",2021-09-10,"2021-09","Sólidos Suspensos Totais","SST","550,0",550,550,"Observado"
"423","APÓS A LAVAGEM DOS FILTROS",2021-10-06,"2021-10","Sólidos Suspensos Totais","SST","303,5",303.5,303.5,"Observado"
"437","APÓS A LAVAGEM DOS FILTROS",2021-11-10,"2021-11","Sólidos Suspensos Totais","SST","390,0",390,390,"Observado"
"454","APÓS A LAVAGEM DOS FILTROS",2021-12-08,"2021-12","Sólidos Suspensos Totais","SST","330,0",330,330,"Observado"
"474","APÓS A LAVAGEM DOS FILTROS",2022-01-12,"2022-01","Sólidos Suspensos Totais","SST","370,0",370,370,"Observado"
"488","APÓS A LAVAGEM DOS FILTROS",2022-02-09,"2022-02","Sólidos Suspensos Totais","SST","465,0",465,465,"Observado"
"502","APÓS A LAVAGEM DOS FILTROS",2022-03-03,"2022-03","Sólidos Suspensos Totais","SST","420,0",420,420,"Observado"
"517","APÓS A LAVAGEM DOS FILTROS",2022-04-11,"2022-04","Sólidos Suspensos Totais","SST","205,0",205,205,"Observado"
